CODIGO_DE_HECHO_EN_BITACORA,DEPARTAMENTO,MUNICIPIO,CÓDIGO_DANE,DIRECCION_TERRITORIAL,PDET_ETCR,REGION_PDET_ETCR,FECHA_DEL_EVENTO,MES_HECHO,ANO_HECHO,TIPO_DE_EVENTO,SUB_TIPO_DE_EVENTO,PRESUNTO_AUTOR ,DESCRIPCION_DEL_AUTOR,OBSERVACIONES,DESCRIPCION_PRELIMINAR_DEL_EVENTO,FUENTE,CATEGORIZACION_DEL_EVENTO
37714,CAUCA,GUAPI,19318,CAUCA,PDET,Pacífico Medio,02/01/2020,1,2020,HOMICIDIOS,REINCORPORADOS,NO_PRECISA,NO_PRECISA,ELN,"El partido político FARC denunció en la madrugada de este jueves el crimen del primer excombatiente acogido al Acuerdo de Paz en apenas dos días de 2020. Según la organización, se trata de Benjamín Banguera Rosales que –alertó– habría sido asesinado con arma de fuego en el municipio de Guapi, en Cauca: “Fue asesinado de dos balazos ¡Exigimos garantías!”, señaló el partido.",EL ESPECTADOR,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37715,CHOCO,BOJAYA,27099,CHOCO,PDET,Chocó,01/01/2020,1,2020,AMENAZAS_E_INTIMIDACIONES,GENERALIZADAS,GAO_GRUPOS_ARMADOS_ORGANIZADOS,CLAN_DEL_GOLFO,AGC,"ncursión AGC en  inmediaciones de las cuencas de los Ríos Pogue y Bojayá, situación de confinamiento en cuatro comunidades de la cuenca: La Loma, Corazón de Jesús, Pogue y Cuia. En la verificación que se adelanta se conoce sobre ingreso de tropa del ejército nacional en la zona con el fin de recuperar el control territorial, se mantiene temor y zozobra en la zona por posibles combats que puedan registrarse",UARIV,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37716,ANTIOQUIA,REMEDIOS,5604,ANTIOQUIA,ETCR - PDET,Bajo Cauca-Nordeste Antioqueño,02/01/2020,1,2020,ACCIONES_INSTITUCIONALES,CAPTURAS,GAO_GRUPOS_ARMADOS_ORGANIZADOS,CLAN_DEL_GOLFO,AGC,"Tropas del Ejército Nacional, en una operación coordinada con la Policía Nacional e interinstitucional con la Fiscalía General de la Nación, y atendiendo la alerta temprana 052 del 2018, en las últimas horas, lograron en medio de un combate la captura de cuatro integrantes del Clan del Golfo que fueron identificados como alias Valentina, Darwin y Juan, a quienes se les incautó material de guerra, comunicaciones y estupefacientes. La acción militar se desarrolló en el marco de la Operación Mayor Agamenón que se adelantó en la vereda El Salado, municipio de Remedios, en Antioquia, cuando uniformados del Ejército recibieron información de la Red de Participación Cívica acerca de la presencia de estos delincuentes en la zona. Posteriormente, se desplegaron tropas por tierra y aire para lograr su captura.",RCN RADIO,ACCIONES_INSTITUCIONALES
37717,VALLE_DEL_CAUCA,BUENAVENTURA,76109,VALLE_DEL_CAUCA,PDET,Pacífico Medio,02/01/2020,1,2020,ACCIONES_INSTITUCIONALES,OPERACIONES_ANTINARCOTICOS,NO_PRECISA,NO_PRECISA_,,"Durante una inspección subacuática, un equipo de buzos altamente entrenado de la Armada de Colombia logró la incautación de cerca de 170 kilogramos de marihuana, al interior de varias tulas que estaban ocultas en las cajas de mar de un buque mercante de bandera Taiwanesa, en la Sociedad Portuaria de Buenaventura.",ARMADA NACIONAL,ACCIONES_INSTITUCIONALES
37718,MAGDALENA,SANTA_MARTA,47001,MAGDALENA,PDET,Sierra Nevada-Perijá,02/01/2020,1,2020,ACCIONES_INSTITUCIONALES,OPERACIONES_ANTINARCOTICOS,NO_PRECISA,NO_PRECISA_,,"Gracias a la rápida reacción de las Unidades de la Estación de Guardacostas de Santa Marta, durante el desarrollo de dos operaciones contra el narcotráfico, se logró la incautación de 78 kilogramos de cocaína. El primer resultado se produjo en el sector de Isla Pelícano, en donde información de valor proporcionada por la Inteligencia Naval permitió el hallazgo de dos tulas ubicadas en el cerro de esa isla, albergando en su interior 48 paquetes del alijo. Por otra parte, en el sector Portuario de la capital del Magdalena, Unidades de la Armada de Colombia, en coordinación con la Policía Nacional, atendieron el aviso de alerta de un miembro de la tripulación de la motonave de nombre “LICA MAERSK” de bandera de Dinamarca, quien detectó actitudes sospechosas y un saco con 30 paquetes prensados que se encontraba en una de las bodegas de la embarcación y en su interior almacenaba 30 paquetes prensados. Al parecer, la embarcación que tendría como destino un puerto en Bélgica pretendía ser contaminada por parte de las organizaciones narcoterroristas, que emplean esta modalidad para sus actos delictivos.",ARMADA NACIONAL,ACCIONES_INSTITUCIONALES
37719,COLOMBIA,NO_PRECISA,,,,,01/01/2020,1,2020,OTRO_TIPO_DE_EVENTO,OTROS,NO_PRECISA,NO_PRECISA_,,"En un 49 % cayó el secuestro en Colombia entre el 2018 y el 2019. El Eln y las disidencias que delinquen en Arauca y Cauca son hoy los mayores secuestradores. Mientras que en el año 2000 se reportaban en promedio 10 plagios diarios, el 2019 cerró con 88 secuestros en total, un 49 por ciento menos al compararlo con 2018, cuando se registraron 173 casos, de acuerdo con el Gaula de la Policía.",EL TIEMPO,OTRO_TIPO_DE_EVENTOS
37720,ARAUCA,SARAVENA,81736,NORTE_DE_SANTANDER_Y_ARAUCA,PDET,Arauca,03/01/2020,1,2020,HOMICIDIOS,OTROS,GAO_GRUPOS_ARMADOS_ORGANIZADOS,NO_PRECISA_,,"Se trata de los hermanos, Yeinner Yesid y Franklin Fabián Alcántara Angarita, de 25 y 23 años respectivamente, quienes la noche del 30 de diciembre de 2019, presuntos milicianos los terminaron asesinando, uno en la vía que del municipio comunica a la vereda Miramar y el segundo en el eje vial que conduce a la vereda La Pavita. La región que históricamente ha tenido dominio del ELN o el Grupo Armado Disidente, podrían ser los responsables de este homicidio, que se suma a la de otras personas que durante el año anterior convirtió a este municipio al más violento en el departamento de Arauca.",LA VOZ DEL CINARUCO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
37721,META,GRANADA,50313,META_Y_LLANOS_ORIENTALES,0,0,01/01/2020,1,2020,ACCIONES_INSTITUCIONALES,CAPTURAS,NO_PRECISA,NO_PRECISA_,,"Fue capturado por la Policía, con apoyo del Ejército y la Fiscalía, Luis Horacio Olivares González, alias Chatarra o Richard, informó este viernes la institución policial. A 'Chatarra' se le consideraba un objetivo de alto valor, por ser narcotraficante y jefe financiero de ese grupo, se le responsabiliza de asesinatos de líderes sociales en el Bajo Cauca antioqueño y el sur de Córdoba.",EL TIEMPO,ACCIONES_INSTITUCIONALES
37722,TOLIMA,RIOBLANCO,73616,CENTRO,PDET,Sur del Tolima,02/01/2020,1,2020,ACCIONES_INSTITUCIONALES,OPERACIONES_ANTINARCOTICOS,NO_PRECISA,NO_PRECISA_,,"En Rioblanco, la Policía
Tolima logró despedir el fin de año con la incautación de un millonario cargamento de
marihuana el cual era transportado en el baúl de un vehículo tipo automóvil. Son cerca de
cerca de 600 mil dosis de marihuana fueron incautadas las cuales pretendían llegar a la ciudad
de Ibagué.",ARMADA NACIONAL,ACCIONES_INSTITUCIONALES
37723,ANTIOQUIA,LA_PINTADA,5390,ANTIOQUIA,0,0,04/01/2020,1,2020,HOMICIDIOS,OTROS,GAO_GRUPOS_ARMADOS_ORGANIZADOS,CLAN_DEL_GOLFO,,"Dos personas muertas y dos lesionadas dejó la incursión de un
grupo de sicarios en una cancha de microfútbol del municipio de La
Pintada, en suroeste de Antioquia.",EL COLOMBIANO,HECHOS_CONTRA_LA_POBLACIÒN_CIVIL
